time,date,open,high,low,close,volume,trade_count
00:00:00+00:00,2022-09-24,7.47,7.87,7.37,7.66,17293.08,637.0
00:00:00+00:00,2022-09-25,7.66,8.07,7.58,7.86,15438.39,709.0
00:00:00+00:00,2022-09-26,7.87,7.95,7.49,7.93,13520.99,520.0
00:00:00+00:00,2022-09-27,7.93,8.4,7.66,8.06,27162.46,1011.0
00:00:00+00:00,2022-09-28,8.04,8.58,7.73,7.8,46667.65,1360.0
00:00:00+00:00,2022-09-29,7.81,7.94,7.58,7.89,12954.0,399.0
00:00:00+00:00,2022-09-30,7.9,7.9,7.52,7.59,12327.92,257.0
00:00:00+00:00,2022-10-01,7.59,7.65,7.31,7.39,7088.51,158.0
00:00:00+00:00,2022-10-02,7.37,7.54,7.1,7.11,7363.49,283.0
00:00:00+00:00,2022-10-03,7.1,7.35,7.02,7.35,7131.39,409.0
00:00:00+00:00,2022-10-04,7.36,7.82,7.35,7.71,11474.52,430.0
00:00:00+00:00,2022-10-05,7.75,7.94,7.59,7.88,9981.45,410.0
00:00:00+00:00,2022-10-06,7.92,7.93,7.6,7.64,5095.68,245.0
00:00:00+00:00,2022-10-07,7.64,7.79,7.48,7.59,10613.69,314.0
00:00:00+00:00,2022-10-08,7.62,7.65,7.35,7.45,3502.0,137.0
00:00:00+00:00,2022-10-09,7.47,7.65,7.41,7.62,2291.06,144.0
00:00:00+00:00,2022-10-10,7.64,7.75,7.34,7.34,11121.71,360.0
00:00:00+00:00,2022-10-11,7.33,7.35,7.08,7.13,7592.85,327.0
00:00:00+00:00,2022-10-12,7.13,7.27,7.1,7.15,2506.65,162.0
00:00:00+00:00,2022-10-13,7.17,7.17,6.32,7.04,30422.15,765.0
00:00:00+00:00,2022-10-14,7.03,7.26,6.8,6.91,9248.36,389.0
00:00:00+00:00,2022-10-15,6.91,6.98,6.83,6.91,2226.26,145.0
00:00:00+00:00,2022-10-16,6.93,7.24,6.92,7.17,5226.24,228.0
00:00:00+00:00,2022-10-17,7.18,7.38,7.08,7.34,6600.26,292.0
00:00:00+00:00,2022-10-18,7.34,7.38,6.96,7.11,4368.58,239.0
00:00:00+00:00,2022-10-19,7.11,7.12,6.71,6.78,4890.16,219.0
00:00:00+00:00,2022-10-20,6.77,6.92,6.62,6.67,7518.37,229.0
00:00:00+00:00,2022-10-21,6.64,6.84,6.45,6.81,6405.58,318.0
00:00:00+00:00,2022-10-22,6.78,6.94,6.73,6.88,4685.09,122.0
00:00:00+00:00,2022-10-23,6.88,7.08,6.8,7.05,9815.42,277.0
00:00:00+00:00,2022-10-24,7.07,7.07,6.79,6.9,6602.42,269.0
00:00:00+00:00,2022-10-25,6.9,7.28,6.82,7.08,15629.73,415.0
00:00:00+00:00,2022-10-26,7.08,7.3,7.04,7.15,12552.92,435.0
00:00:00+00:00,2022-10-27,7.15,7.35,6.86,6.89,7107.52,416.0
00:00:00+00:00,2022-10-28,6.88,7.21,6.83,7.1,6695.06,203.0
00:00:00+00:00,2022-10-29,7.14,7.65,7.09,7.61,17792.25,737.0
00:00:00+00:00,2022-10-30,7.65,7.93,7.5,7.79,28152.12,885.0
00:00:00+00:00,2022-10-31,7.83,8.33,7.64,7.85,37774.83,1017.0
00:00:00+00:00,2022-11-01,7.85,7.92,7.64,7.7,10869.71,301.0
00:00:00+00:00,2022-11-02,7.65,7.98,7.34,7.43,27703.46,1070.0
00:00:00+00:00,2022-11-03,7.43,8.01,7.39,7.71,71364.16,1009.0
00:00:00+00:00,2022-11-04,7.67,8.89,7.67,8.72,85834.14,1623.0
00:00:00+00:00,2022-11-05,8.74,8.99,8.56,8.66,52013.51,913.0
00:00:00+00:00,2022-11-06,8.67,8.76,8.1,8.1,41580.93,604.0
00:00:00+00:00,2022-11-07,8.11,9.24,7.9,8.93,76877.59,1298.0
00:00:00+00:00,2022-11-08,8.92,9.47,6.62,7.7,223796.74,5518.0
00:00:00+00:00,2022-11-09,7.71,7.89,5.78,6.32,140537.14,4072.0
00:00:00+00:00,2022-12-20,6.07,6.12,5.95,6.04,7874.88,142.0
00:00:00+00:00,2022-12-21,6.04,6.04,5.88,5.97,3269.86,128.0
00:00:00+00:00,2022-12-22,5.99,6.03,5.86,6.01,5804.98,138.0
